product_id,product_category_name
P20845,office_furniture
P9335,housewares
P23317,office_furniture
P20373,office_furniture
P18210,home_confort
P1468,sports_leisure
P22321,computers_accessories
P1014,toys
P15066,furniture_decor
P13332,auto
P12310,computers_accessories
P7983,air_conditioning
P6502,telephony
P6230,health_beauty
P18831,garden_tools
P16030,auto
P28455,pet_shop
P18956,bed_bath_table
P19860,telephony
P2403,computers_accessories
P6804,garden_tools
P2467,sports_leisure
P20064,baby
P14876,bed_bath_table
P26087,watches_gifts
P19050,bed_bath_table
P2236,kitchen_dining_laundry_garden_furniture
P29415,perfumery
P30720,bed_bath_table
P8281,garden_tools
P7080,garden_tools
P9129,furniture_decor
P12424,bed_bath_table
P2960,bed_bath_table
P20929,toys
P20788,sports_leisure
P21552,bed_bath_table
P9035,art
P17672,office_furniture
P30580,computers_accessories
P20822,watches_gifts
P31059,stationery
P13649,fashio_female_clothing
P17223,sports_leisure
P11797,auto
P21745,furniture_decor
P9112,bed_bath_table
P11464,consoles_games
P12522,sports_leisure
P25762,furniture_decor
P7743,computers_accessories
P19610,health_beauty
P5164,watches_gifts
P14127,furniture_decor
P28866,sports_leisure
P19795,bed_bath_table
P9807,housewares
P7981,health_beauty
P19779,construction_tools_lights
P16056,toys
P8763,watches_gifts
P21112,office_furniture
P29467,computers_accessories
P13699,computers_accessories
P27000,pet_shop
P27558,food_drink
P22833,bed_bath_table
P15406,stationery
P8448,health_beauty
P24415,watches_gifts
P31343,watches_gifts
P28574,housewares
P29555,sports_leisure
P21062,drinks
P8926,watches_gifts
P2577,computers_accessories
P27197,auto
P8333,cool_stuff
P2922,computers_accessories
P4151,telephony
P23130,health_beauty
P10578,cool_stuff
P5585,fashion_bags_accessories
P29623,computers_accessories
P20093,telephony
P14239,housewares
P8601,bed_bath_table
P19390,baby
P27966,health_beauty
P14083,home_construction
P3062,auto
P3282,health_beauty
P754,sports_leisure
P13008,housewares
P21121,cool_stuff
P29186,bed_bath_table
P12788,sports_leisure
P7763,sports_leisure
P22622,health_beauty
P24258,luggage_accessories
P18367,home_confort
P10193,toys
P9595,bed_bath_table
P13800,watches_gifts
P20330,auto
P286,watches_gifts
P4256,watches_gifts
P11948,housewares
P3148,housewares
P12045,luggage_accessories
P22790,bed_bath_table
P25931,computers_accessories
P6611,housewares
P10103,perfumery
P2037,housewares
P26736,watches_gifts
P3341,electronics
P18537,bed_bath_table
P11355,bed_bath_table
P27814,watches_gifts
P13741,baby
P8714,pet_shop
P5478,baby
P30278,auto
P22238,health_beauty
P30250,watches_gifts
P6106,home_appliances_2
P20262,telephony
P14946,telephony
P6319,furniture_decor
P28216,sports_leisure
P5470,health_beauty
P13096,furniture_decor
P30825,fashion_male_clothing
P16545,bed_bath_table
P2785,small_appliances
P29756,sports_leisure
P11052,small_appliances_home_oven_and_coffee
P28404,home_appliances_2
P2637,books_general_interest
P1810,health_beauty
P14060,telephony
P19265,auto
P9192,furniture_decor
P8458,home_appliances
P6578,perfumery
P11675,consoles_games
P19113,bed_bath_table
P13189,stationery
P5623,costruction_tools_tools
P14015,housewares
P5981,garden_tools
P26082,watches_gifts
P22741,watches_gifts
P13219,air_conditioning
P9704,watches_gifts
P12834,telephony
P3786,sports_leisure
P21371,sports_leisure
P14446,furniture_decor
P2848,cool_stuff
P31071,computers_accessories
P16959,signaling_and_security
P7147,cool_stuff
P11134,perfumery
P11833,perfumery
P12526,bed_bath_table
P30168,health_beauty
P5730,furniture_decor
P11050,computers_accessories
P15608,sports_leisure
P5711,small_appliances
P28793,costruction_tools_tools
P2687,health_beauty
P30901,computers_accessories
P16377,consoles_games
P3189,cool_stuff
P23491,sports_leisure
P12355,bed_bath_table
P10469,furniture_decor
P8129,sports_leisure
P25095,computers_accessories
P31607,watches_gifts
P29347,garden_tools
P370,electronics
P25838,pet_shop
P27571,health_beauty
P3309,home_confort
P17869,furniture_decor
P18285,bed_bath_table
P2889,furniture_decor
P715,perfumery
P2056,sports_leisure
P4062,baby
P31445,health_beauty
P18284,stationery
P5084,home_appliances
P27339,stationery
P13239,housewares
P26026,furniture_decor
P12416,cool_stuff
P11762,bed_bath_table
P6588,construction_tools_lights
P17629,pet_shop
P29880,auto
P28862,home_appliances
P11598,perfumery
P17318,health_beauty
P8705,sports_leisure
P299,sports_leisure
P17928,bed_bath_table
P2460,pet_shop
P722,bed_bath_table
P5933,bed_bath_table
P4452,housewares
P14238,luggage_accessories
P13178,sports_leisure
P7812,housewares
P19224,health_beauty
P26272,housewares
P3967,bed_bath_table
P30525,cool_stuff
P22000,telephony
P22457,housewares
P14369,auto
P6806,sports_leisure
P10049,art
P25513,toys
P6099,auto
P3429,sports_leisure
P10397,garden_tools
P30016,housewares
P23900,food_drink
P1611,furniture_decor
P5335,health_beauty
P20463,watches_gifts
P30561,small_appliances
P158,watches_gifts
P7369,watches_gifts
P6652,housewares
P28102,health_beauty
P19446,bed_bath_table
P5233,health_beauty
P10181,bed_bath_table
P27797,auto
P29007,office_furniture
P29287,health_beauty
P21954,perfumery
P3598,health_beauty
P31026,electronics
P2254,sports_leisure
P21568,baby
P3320,housewares
P27884,fashion_bags_accessories
P30425,housewares
P15468,home_construction
P724,computers_accessories
P29999,perfumery
P17139,health_beauty
P19982,sports_leisure
P609,sports_leisure
P30878,furniture_decor
P24211,bed_bath_table
P1013,computers_accessories
P14290,musical_instruments
P11004,watches_gifts
P6201,toys
P1147,books_general_interest
P21125,perfumery
P554,health_beauty
P31326,telephony
P13998,health_beauty
P12328,bed_bath_table
P16707,telephony
P24718,furniture_decor
P21247,furniture_decor
P17927,computers_accessories
P18203,consoles_games
P28436,bed_bath_table
P24378,office_furniture
P29521,sports_leisure
P5012,garden_tools
P31230,bed_bath_table
P498,auto
P16861,health_beauty
P19510,bed_bath_table
P11906,toys
P28165,health_beauty
P31265,perfumery
P30080,health_beauty
P28701,baby
P5742,baby
P29166,housewares
P15059,pet_shop
P11811,furniture_decor
P31118,bed_bath_table
P18343,construction_tools_construction
P12075,music
P27506,construction_tools_construction
P938,bed_bath_table
P16656,bed_bath_table
P4823,toys
P14881,watches_gifts
P16506,food_drink
P25648,health_beauty
P22600,bed_bath_table
P28620,telephony
P8545,housewares
P24045,health_beauty
P6006,watches_gifts
P2863,electronics
P17078,health_beauty
P28533,computers_accessories
P13925,furniture_decor
P10948,watches_gifts
P2069,bed_bath_table
P20175,watches_gifts
P4143,health_beauty
P28956,computers_accessories
P29733,bed_bath_table
P22314,furniture_decor
P18540,health_beauty
P16928,health_beauty
P3695,electronics
P23401,housewares
P29448,construction_tools_construction
P19695,bed_bath_table
P17960,office_furniture
P12657,baby
P2799,health_beauty
P4712,housewares
